ks	count
KP_20300164380742	2
KP_20300154345501	2
KP_20300156382827	2
KP_20300158937415	2
KP_20300156398208	2
KP_20300165303969	2
KP_20300163812450	2
KP_20300155994289	2
KP_20300155555888	2
KP_20300157008243	2
KP_20300157370095	2
KP_20300161460418	2
KP_20300164145665	2
KP_20300160764337	2
KP_20300158980326	2
KP_20300157216475	2
KP_20300163303559	2
KP_20300156202391	2
KP_20300160002293	2
KP_20300156127786	2
KP_20300156719282	2
KP_20300156739580	2
KP_20300161285312	2
KP_20300157130359	2
KP_20300160275039	2
KP_20300155738244	2
KP_20300156577953	2
KP_20300162543382	2
KP_20300164188976	2
KP_20300162756348	2
KP_20300155388699	2
KP_20300157251975	2
KP_20300160795839	2
KP_20300160166165	2
KP_20300155079823	2
KP_20300161938567	2
KP_20300163456162	2
KP_20300160752695	2
KP_20300161056637	2
KP_20300164089080	2
KP_20300162795152	2
KP_20300161917609	2
KP_20300161076668	2
KP_20300155615064	2
KP_20300157583297	2
KP_20300163246989	2
KP_20300160744238	2
KP_20300162281642	2
KP_20300158606612	2
KP_20300162721551	2
KP_20300161263777	2
KP_20300161620291	2
KP_20300159368765	2
KP_20300164333957	2
KP_20300157043994	2
KP_20300155066312	2
KP_20300161583648	2
KP_20300154779573	2
KP_20300160153281	2
KP_20300157730329	2
KP_20300161429214	2
KP_20300157408374	2
KP_20300161332465	2
KP_20300157423357	2
KP_20300155866672	2
KP_20300159098999	2
KP_20300158830476	2
KP_20300161047303	2
KP_20300161020083	2
KP_20300155678168	2
KP_20300159332852	2
KP_20300164931231	2
KP_20300159939226	2
KP_20300156107079	2
KP_20300161277224	2
KP_20300159855721	2
KP_20300163184546	2
KP_20300155037659	2
KP_20300158861673	2
KP_20300158157399	2
KP_20300155023536	2
KP_20300164886890	2
KP_20300156298039	2
KP_20300162521353	2
KP_20300157266731	2
KP_20300159586204	2
KP_20300159608560	2
KP_20300156992194	2
KP_20300162941662	2
KP_20300156008384	2
KP_20300163351563	2
KP_20300157887138	2
KP_20300156040908	2
KP_20300162509104	2
KP_20300160109853	2
KP_20300161502483	2
KP_20300163357942	2
KP_20300156262902	2
KP_20300155619120	2
KP_20300156788685	2
KP_20300159377771	2
KP_20300158171431	2
KP_20300158339009	2
KP_20300159345248	2
KP_20300155739530	2
